texto,classe
"Nomeação de servidor público para atuar em saúde pública.",nomeacao
"Abertura de processo licitatório para contratação de empresa especializada em tecnologia da informação.",licitacao
"Abertura de processo licitatório para contratação de empresa especializada em transporte escolar.",licitacao
"Contrato firmado entre prefeitura e empresa referente a saúde pública.",contrato
"Decreto municipal estabelece novas regras sobre pavimentação urbana.",decreto
"Decreto municipal estabelece novas regras sobre tecnologia da informação.",decreto
"Decreto municipal estabelece novas regras sobre pavimentação urbana.",decreto
"Nomeação de servidor público para atuar em obras públicas.",nomeacao
"Contrato firmado entre prefeitura e empresa referente a pavimentação urbana.",contrato
"Abertura de processo licitatório para contratação de empresa especializada em tecnologia da informação.",licitacao
"Abertura de processo licitatório para contratação de empresa especializada em educação municipal.",licitacao
"Portaria dispõe sobre procedimentos administrativos relacionados a tecnologia da informação.",portaria
"Decreto municipal estabelece novas regras sobre saúde pública.",decreto
"Abertura de processo licitatório para contratação de empresa especializada em obras públicas.",licitacao
"Decreto municipal estabelece novas regras sobre transporte escolar.",decreto
"Contrato firmado entre prefeitura e empresa referente a pavimentação urbana.",contrato
"Abertura de processo licitatório para contratação de empresa especializada em tecnologia da informação.",licitacao
"Contrato firmado entre prefeitura e empresa referente a tecnologia da informação.",contrato
"Contrato firmado entre prefeitura e empresa referente a saúde pública.",contrato
"Nomeação de servidor público para atuar em pavimentação urbana.",nomeacao
"Portaria dispõe sobre procedimentos administrativos relacionados a educação municipal.",portaria
"Decreto municipal estabelece novas regras sobre tecnologia da informação.",decreto
"Decreto municipal estabelece novas regras sobre saúde pública.",decreto
"Portaria dispõe sobre procedimentos administrativos relacionados a educação municipal.",portaria
"Abertura de processo licitatório para contratação de empresa especializada em pavimentação urbana.",licitacao
"Abertura de processo licitatório para contratação de empresa especializada em pavimentação urbana.",licitacao
"Decreto municipal estabelece novas regras sobre transporte escolar.",decreto
"Portaria dispõe sobre procedimentos administrativos relacionados a educação municipal.",portaria
"Nomeação de servidor público para atuar em transporte escolar.",nomeacao
"Edital de concurso público para preenchimento de vagas em saúde pública.",concurso
"Contrato firmado entre prefeitura e empresa referente a pavimentação urbana.",contrato
"Edital de concurso público para preenchimento de vagas em transporte escolar.",concurso
"Contrato firmado entre prefeitura e empresa referente a saúde pública.",contrato
"Nomeação de servidor público para atuar em pavimentação urbana.",nomeacao
"Abertura de processo licitatório para contratação de empresa especializada em transporte escolar.",licitacao
"Decreto municipal estabelece novas regras sobre pavimentação urbana.",decreto
"Nomeação de servidor público para atuar em tecnologia da informação.",nomeacao
"Abertura de processo licitatório para contratação de empresa especializada em obras públicas.",licitacao
"Contrato firmado entre prefeitura e empresa referente a tecnologia da informação.",contrato
"Portaria dispõe sobre procedimentos administrativos relacionados a pavimentação urbana.",portaria
"Nomeação de servidor público para atuar em tecnologia da informação.",nomeacao
"Nomeação de servidor público para atuar em transporte escolar.",nomeacao
"Contrato firmado entre prefeitura e empresa referente a obras públicas.",contrato
"Contrato firmado entre prefeitura e empresa referente a obras públicas.",contrato
"Abertura de processo licitatório para contratação de empresa especializada em transporte escolar.",licitacao
"Portaria dispõe sobre procedimentos administrativos relacionados a transporte escolar.",portaria
"Decreto municipal estabelece novas regras sobre educação municipal.",decreto
"Abertura de processo licitatório para contratação de empresa especializada em transporte escolar.",licitacao
"Edital de concurso público para preenchimento de vagas em pavimentação urbana.",concurso
"Decreto municipal estabelece novas regras sobre educação municipal.",decreto
"Portaria dispõe sobre procedimentos administrativos relacionados a pavimentação urbana.",portaria
"Edital de concurso público para preenchimento de vagas em educação municipal.",concurso
"Abertura de processo licitatório para contratação de empresa especializada em tecnologia da informação.",licitacao
"Edital de concurso público para preenchimento de vagas em saúde pública.",concurso
"Contrato firmado entre prefeitura e empresa referente a educação municipal.",contrato
"Contrato firmado entre prefeitura e empresa referente a saúde pública.",contrato
"Nomeação de servidor público para atuar em obras públicas.",nomeacao
"Edital de concurso público para preenchimento de vagas em transporte escolar.",concurso
"Contrato firmado entre prefeitura e empresa referente a transporte escolar.",contrato
"Edital de concurso público para preenchimento de vagas em pavimentação urbana.",concurso
"Decreto municipal estabelece novas regras sobre tecnologia da informação.",decreto
"Contrato firmado entre prefeitura e empresa referente a tecnologia da informação.",contrato
"Portaria dispõe sobre procedimentos administrativos relacionados a educação municipal.",portaria
"Contrato firmado entre prefeitura e empresa referente a tecnologia da informação.",contrato
"Decreto municipal estabelece novas regras sobre transporte escolar.",decreto
"Decreto municipal estabelece novas regras sobre transporte escolar.",decreto
"Abertura de processo licitatório para contratação de empresa especializada em obras públicas.",licitacao
"Portaria dispõe sobre procedimentos administrativos relacionados a saúde pública.",portaria
"Edital de concurso público para preenchimento de vagas em tecnologia da informação.",concurso
"Edital de concurso público para preenchimento de vagas em transporte escolar.",concurso
"Edital de concurso público para preenchimento de vagas em educação municipal.",concurso
"Edital de concurso público para preenchimento de vagas em obras públicas.",concurso
"Decreto municipal estabelece novas regras sobre saúde pública.",decreto
"Decreto municipal estabelece novas regras sobre obras públicas.",decreto
"Portaria dispõe sobre procedimentos administrativos relacionados a educação municipal.",portaria
"Portaria dispõe sobre procedimentos administrativos relacionados a pavimentação urbana.",portaria
"Edital de concurso público para preenchimento de vagas em saúde pública.",concurso
"Portaria dispõe sobre procedimentos administrativos relacionados a transporte escolar.",portaria
"Edital de concurso público para preenchimento de vagas em obras públicas.",concurso
"Decreto municipal estabelece novas regras sobre pavimentação urbana.",decreto
"Edital de concurso público para preenchimento de vagas em transporte escolar.",concurso
"Portaria dispõe sobre procedimentos administrativos relacionados a obras públicas.",portaria
"Decreto municipal estabelece novas regras sobre transporte escolar.",decreto
"Nomeação de servidor público para atuar em educação municipal.",nomeacao
"Abertura de processo licitatório para contratação de empresa especializada em pavimentação urbana.",licitacao
"Decreto municipal estabelece novas regras sobre educação municipal.",decreto
"Contrato firmado entre prefeitura e empresa referente a transporte escolar.",contrato
